Year,First Name,Sex,Count
2013,ROMAN,M,65
2013,RONALD,M,5
2013,RONAN,M,13
2013,RORY,M,5
2013,ROSA,F,5
2013,ROSE,F,71
2013,ROY,M,17
2013,RUBY,F,89
2013,RUCHY,F,8
2013,RUSSELL,M,11
2013,RUTH,F,10
2013,RYAN,M,920
2013,RYAN,F,8
2013,RYDER,M,36
2013,RYLEE,F,20
2013,RYLEIGH,F,13
2013,RYLIE,F,5
2013,SABRINA,F,66
2013,SADIE,F,126
2013,SALVATORE,M,50
2013,SAM,M,25
2013,SAMANTHA,F,406
2013,SAMARA,F,21
2013,SAMIR,M,32
2013,SAMUEL,M,559
2013,SANTIAGO,M,56
2013,SANTINO,M,10
2013,SARA,F,233
2013,SARAH,F,430
2013,SARAI,F,32
2013,SASHA,F,27
2013,SAVANNAH,F,205
2013,SAWYER,M,23
2013,SCARLET,F,10
2013,SCARLETT,F,238
2013,SEAN,M,149
2013,SEBASTIAN,M,447
2013,SELENA,F,14
2013,SELINA,F,12
2013,SERENA,F,20
2013,SERENITY,F,163
2013,SERGIO,M,5
2013,SETH,M,7
2013,SHAINA,F,21
2013,SHAINDEL,F,9
2013,SHAINDY,F,72
2013,SHANE,M,46
2013,SHANIA,F,11
2013,SHARON,F,10
2013,SHAWN,M,44
2013,SHAYA,M,22
2013,SHAYNA,F,5
2013,SHEA,M,20
2013,SHERLYN,F,11
2013,SHIA,M,41
2013,SHIFRA,F,13
2013,SHIMON,M,119
2013,SHIRA,F,17
2013,SHIRLEY,F,22
2013,SHLOIME,M,11
2013,SHLOME,M,15
2013,SHLOMO,M,74
2013,SHMIEL,M,29
2013,SHMUEL,M,73
2013,SHNEUR,M,10
2013,SHOLOM,M,16
2013,SHULEM,M,49
2013,SIENA,F,6
2013,SIENNA,F,81
2013,SIERRA,F,8
2013,SILAS,M,9
2013,SIMA,F,18
2013,SIMCHA,M,28
2013,SIMON,M,76
2013,SIMONE,F,13
2013,SINCERE,M,5
2013,SKYE,F,5
2013,SKYLA,F,22
2013,SKYLAH,F,13
2013,SKYLAR,F,154
2013,SKYLER,F,5
2013,SKYLER,M,26
2013,SLOANE,F,24
2013,SOFIA,F,606
2013,SOLOMON,M,28
2013,SOPHIA,F,1316
2013,SOPHIE,F,185
2013,SPENCER,M,47
2013,STANLEY,M,15
2013,STELLA,F,155
2013,STEPHANIE,F,99
2013,STEPHEN,M,31
2013,STEVEN,M,220
2013,SUMMER,F,62
2013,SURI,F,15
2013,SURY,F,31
2013,SYDNEY,F,138
2013,SYED,M,5
2013,SYLVIA,F,11
2013,TALIA,F,82
2013,TANNER,M,9
2013,TATIANA,F,12
2013,TAYLOR,M,5
2013,TAYLOR,F,168
2013,TEAGAN,F,24
2013,TENZIN,M,18
2013,TENZIN,F,24
2013,TERRENCE,M,10
2013,TESSA,F,26
2013,THEO,M,11
2013,THEODORE,M,153
2013,THIAGO,M,36
2013,THOMAS,M,390
2013,TIFFANY,F,39
2013,TIMOTHY,M,114
2013,TOBY,F,53
2013,TONY,M,11
2013,TRANY,F,13
2013,TRAVIS,M,22
2013,TREVOR,M,19
2013,TRINITY,F,42
2013,TRISTAN,M,178
2013,TROY,M,11
2013,TUCKER,M,7
2013,TYLER,M,427
2013,TZIPORA,F,11
2013,TZVI,M,53
2013,UMAR,M,11
2013,URIEL,M,10
2013,USHER,M,34
2013,VALENTINA,F,242
2013,VALERIA,F,51
2013,VALERIE,F,102
2013,VANESSA,F,85
2013,VERONICA,F,30
2013,VICKY,F,10
2013,VICTOR,M,115
2013,VICTORIA,F,482
2013,VINCENT,M,274
